StudyID,GroupID,ExperimentID,EffectID,Author,Year,Journal,SpeciesCom,SpeciesSci,Class,WildLabRear,WildLabExp,Sex,ManipLifeStage,ManipLifeStage+,ManipType,ManipDirection,ManipDuration,ManipOffset,ManipPostDiet,ManipConditionEffect,ManipGroups,ManipNotes,ExpLifeStage,ExpAge,ExpType,ExpVar,RiskContext,ExpVarUnit,ExpRepeated,ExpNotes,nLC,meanLC,sdLC,seLC,CILC,nHC,meanHC,sdHC,seHC,CIHC,TestStatType,TestStatValue,df,P,SharedGroup,SharedN,Sharedmean,Sharedsd,RiskEffectDirection,Marginalised,DataLocation,DataPresentation,Exclude,ExclusionReason,Extraction notes
CD594,EG202A,EX253A,ES1586,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,supplement,0.416666667,0,continuous,unknown,control_LC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,novel environment,time browsing (movement of mouthpart of surface),novelenvironment_feeding,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",5,0.1266667,0.1920648,,,8,0.2083333,0.1530121,,,,,,,S1284,5,0.1266667,0.1920648,positive,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,medium v high'; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1587,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,restrict,0.416666667,0,continuous,unknown,control_HC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time at the bottom of container,NA,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",4,0.06666667,0.1122167,,,3,0.22222222,0.126198,,,,,,,S1285,3,0.22222222,0.126198,negative,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,exclude_all,excluded behavioural response variable,"low v medium; 'medium' food treatment taken as control; Time at bottom excluded as unclear if use as refuge, resting or foraging"
CD594,EG202A,EX253A,ES1588,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,supplement,0.416666667,0,continuous,unknown,control_LC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time at the bottom of container,NA,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",3,0.22222222,0.126198,,,6,0.15,0.2019351,,,,,,,S1285,3,0.22222222,0.126198,negative,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,exclude_all,excluded behavioural response variable,"medium v high'; 'medium' food treatment taken as control; Time at bottom excluded as unclear if use as refuge, resting or foraging"
CD594,EG202A,EX253A,ES1589,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,restrict,0.416666667,0,continuous,unknown,control_HC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time resting at the surface,predation_response,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",4,0.15,0.2380476,,,3,0.3,0.2081666,,,,,,,S1286,3,0.3,0.2081666,negative,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,low v medium; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1590,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,supplement,0.416666667,0,continuous,unknown,control_LC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time resting at the surface,predation_response,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",3,0.3,0.2081666,,,6,0.2722222,0.2678446,,,,,,,S1286,3,0.3,0.2081666,negative,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,medium v high'; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1591,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,restrict,0.416666667,0,continuous,unknown,control_HC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time in middle zone of container,predation_response,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",4,0.15,0.1914854,,,3,0.1777778,0.1644294,,,,,,,S1287,3,0.1777778,0.1644294,positive,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,low v medium; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1592,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,supplement,0.416666667,0,continuous,unknown,control_LC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time in middle zone of container,predation_response,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",3,0.1777778,0.1644294,,,6,0.1222222,0.1344399,,,,,,,S1287,3,0.1777778,0.1644294,positive,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,medium v high'; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1593,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,restrict,0.416666667,0,continuous,unknown,control_HC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time near wall of container,predation_response,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",4,0.1333333,0.15396007,,,3,0.3,0.05773503,,,,,,,S1288,3,0.3,0.05773503,negative,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,low v medium; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1594,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,supplement,0.416666667,0,continuous,unknown,control_LC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time near wall of container,predation_response,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",3,0.3,0.05773503,,,6,0.1222222,0.11287489,,,,,,,S1288,3,0.3,0.05773503,negative,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,medium v high'; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1595,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,restrict,0.416666667,0,continuous,unknown,control_HC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time thrashing,predation_response,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",4,0.2333333,0.29059326,,,3,0.2777778,0.07698004,,,,,,,S1289,3,0.2777778,0.07698004,positive,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,low v medium; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1596,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,supplement,0.416666667,0,continuous,unknown,control_LC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time thrashing,predation_response,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",3,0.2777778,0.07698004,,,6,0.1444444,0.15444045,,,,,,,S1289,3,0.2777778,0.07698004,positive,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,medium v high'; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1597,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,restrict,0.416666667,0,continuous,unknown,control_HC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time resting (no movement),predation_response,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",4,0.125,0.20794408,,,3,0.1333333,0.08819171,,,,,,,S1290,3,0.1333333,0.08819171,negative,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,low v medium; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1598,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,supplement,0.416666667,0,continuous,unknown,control_LC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time resting (no movement),predation_response,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",3,0.1333333,0.08819171,,,6,0.1555556,0.17213259,,,,,,,S1290,3,0.1333333,0.08819171,negative,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,medium v high'; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1599,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,restrict,0.416666667,0,continuous,unknown,control_HC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time filter feeding,predation_feeding,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",4,0.05,0.0793492,,,3,0.1666667,0.1452966,,,,,,,S1291,3,0.1666667,0.1452966,positive,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,low v medium; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1600,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,supplement,0.416666667,0,continuous,unknown,control_LC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time filter feeding,predation_feeding,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",3,0.1666667,0.1452966,,,6,0.1222222,0.1276569,,,,,,,S1291,3,0.1666667,0.1452966,positive,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,medium v high'; 'medium' food treatment taken as control;
CD594,EG202A,EX253A,ES1601,Wormington,2014,Ecological Entomology,eastern tree hole mosquito,Aedes triseriatus (synonym Ochlerotatus triseriatus),insect,lab,lab,female,juvenile,Larval Aedes triseriatus,quantity,restrict,0.416666667,0,continuous,unknown,control_HC2,"Predator-naïve second-instar larvae were held individually for 8–12 h in containers with three levels of Difco™ Nutrient Broth (a substrate for the bacteria on which larvae feed) and water (0.1, 0.05 and 0 g l?1; hereafter ‘high’, ‘medium’ and ‘low’, respectively). ",juvenile,unknown,predator response,time browsing (movement of mouthpart of surface),predation_feeding,proportion (individual),no,"Six 10ml cups, each containing one larva and representing all treatment groups (three feeding levels × predation versus control), were video recorded for 35min. In total, 19 videos were taken, representing 114 larvae. After 5min for habituation, position and activity (see Juliano &Reminger, 1992 for detailed protocol) of each larva were noted every minute for 30 min. Positions were as follows: (i) surface, with respiratory siphon in contact with the water–air interface; (ii) wall, larva less than 1mm from the wall of the cup; (iii) BOTTOM, larva less than 1mm from the bottom of the cup; and (iv) middle, larva greater than 1mmfrom the surface, wall, and bottom ofcontainer. When position could be scored as either surface or wall, precedence was given to surface. Larvae at the junction of the bottom and the wall were judged to be at the bottom of the container. Activities were as follows: (i) resting, larva not moving through the water or feeding; (ii) browsing, the larva’s mouthparts in contact with a surface andmovement via the mouthparts detected; (iii) filtering, the larva not in contact with a surface and driven through the water by the mouthparts with no body movement; and (iv) thrashing, larva moving quickly through the water propelled by vigorous body movements.",4,0.09166667,0.10671874,,,3,0.42222222,0.01924501,,,,,,,S1292,3,0.42222222,0.01924501,positive,no,CD594_Copy of TrisBehaviorFull.xlsx,author correspondence,,,low v medium; 'medium' food treatment taken as control;
