"","StudyID","Source","EffectSizesFromPublication","EffectSizesIncludedinAnalysis","Extraction.Complete","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipGroups","ExpLifeStage","ExpType","ExpVar","RiskContext","ExpVarUnit","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","SharedGroup","SharedN","Sharedmean","Sharedsd","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","MaxLongevity","MaxLongevitySource","RelativeTimeFromTreatment","lnMaxLongevity","RelativeManipDuration"
"1305","CD515","SearchQuery","yes","yes","yes","EG160","EX192","ES1227","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",30,0,"continuous","yes (growth, body condition)","control_HC5","juvenile","novel environment","activity","novelenvironment_activity","count","3","13.93782383","1.076922782","0.621761658",NA,"3","25.12953368","5.025639649","2.901554404",NA,"","",NA,"","S0993",3,25.12953368,5.025639649,"positive","no","Figure 7a","figure","","",10767.5,"systematic",0,9.28428761692827,0.00278616206175993
"1306","CD515","SearchQuery","yes","yes","yes","EG160","EX192","ES1228","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",54,0,"continuous","yes (growth, body condition)","control_HC5","juvenile","novel environment","activity","novelenvironment_activity","count","4","13.31606218","2.07253886","1.03626943",NA,"3","25.12953368","5.025639649","2.901554404",NA,"","",NA,"","S0993",3,25.12953368,5.025639649,"positive","no","Figure 7a","figure","","",10767.5,"systematic",0,9.28428761692827,0.00501509171116787
"1307","CD515","SearchQuery","yes","yes","yes","EG160","EX192","ES1229","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",10,0,"continuous","yes (growth, body condition)","control_HC5","juvenile","novel environment","areas explored","novelenvironment_exploration","count","3","9.989690722","1.714194614","0.989690722",NA,"3","7.948453608","1.821331777","1.051546392",NA,"","",NA,"","S0994",3,7.948453608,1.821331777,"positive","no","Figure 7b","figure","","",10767.5,"systematic",0,9.28428761692827,0.000928720687253309
"1308","CD515","SearchQuery","yes","yes","yes","EG160","EX192","ES1230","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",10,0,"continuous","yes (growth, body condition)","control_HC5","juvenile","novel environment","areas explored","novelenvironment_exploration","count","3","10.48453608","0.374980072","0.216494845",NA,"3","7.948453608","1.821331777","1.051546392",NA,"","",NA,"","S0994",3,7.948453608,1.821331777,"positive","no","Figure 7b","figure","","",10767.5,"systematic",0,9.28428761692827,0.000928720687253309
"1309","CD515","SearchQuery","yes","yes","yes","EG160","EX192","ES1231","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",30,0,"continuous","yes (growth, body condition)","control_HC5","juvenile","novel environment","areas explored","novelenvironment_exploration","count","3","8.721649485","0.401764363","0.231958763",NA,"3","7.948453608","1.821331777","1.051546392",NA,"","",NA,"","S0994",3,7.948453608,1.821331777,"positive","no","Figure 7b","figure","","",10767.5,"systematic",0,9.28428761692827,0.00278616206175993
"1310","CD515","SearchQuery","yes","yes","yes","EG160","EX192","ES1232","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",30,0,"continuous","yes (growth, body condition)","control_HC5","juvenile","novel environment","areas explored","novelenvironment_exploration","count","3","7.329896907","0.749960143","0.432989691",NA,"3","7.948453608","1.821331777","1.051546392",NA,"","",NA,"","S0994",3,7.948453608,1.821331777,"positive","no","Figure 7b","figure","","",10767.5,"systematic",0,9.28428761692827,0.00278616206175993
"1311","CD515","SearchQuery","yes","yes","yes","EG160","EX192","ES1233","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",54,0,"continuous","yes (growth, body condition)","control_HC5","juvenile","novel environment","areas explored","novelenvironment_exploration","count","4","6.835051546","0.587628866","0.293814433",NA,"3","7.948453608","1.821331777","1.051546392",NA,"","",NA,"","S0994",3,7.948453608,1.821331777,"positive","no","Figure 7b","figure","","",10767.5,"systematic",0,9.28428761692827,0.00501509171116787
"1312","CD516","SearchQuery","partial","partial","yes","EG160","EX192","ES1234","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",10,0,"continuous","yes (as in CD515)","control_HC5","juvenile","shoaling","nearest neighbour ratio (day)","novelenvironment_shoaling","ratio","3","0.535211268","0.076670257","0.044265594",NA,"3","0.329979879","0.06273021","0.036217304",NA,"","",NA,"","S0995",3,0.329979879,0.06273021,"positive","no","Figure 1","figure","","",10767.5,"systematic",0,9.28428761692827,0.000928720687253309
"1313","CD516","SearchQuery","partial","partial","yes","EG160","EX192","ES1235","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",10,0,"continuous","yes (as in CD515)","control_HC5","juvenile","shoaling","nearest neighbour ratio (day)","novelenvironment_shoaling","ratio","3","0.655935614","0.125460421","0.072434608",NA,"3","0.329979879","0.06273021","0.036217304",NA,"","",NA,"","S0995",3,0.329979879,0.06273021,"positive","no","Figure 1","figure","","",10767.5,"systematic",0,9.28428761692827,0.000928720687253309
"1314","CD516","SearchQuery","partial","partial","yes","EG160","EX192","ES1236","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",30,0,"continuous","yes (as in CD515)","control_HC5","juvenile","shoaling","nearest neighbour ratio (day)","novelenvironment_shoaling","ratio","3","1.070422535","0.299711005","0.173038229",NA,"3","0.329979879","0.06273021","0.036217304",NA,"","",NA,"","S0995",3,0.329979879,0.06273021,"positive","no","Figure 1","figure","","",10767.5,"systematic",0,9.28428761692827,0.00278616206175993
"1315","CD516","SearchQuery","partial","partial","yes","EG160","EX192","ES1237","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",30,0,"continuous","yes (as in CD515)","control_HC5","juvenile","shoaling","nearest neighbour ratio (day)","novelenvironment_shoaling","ratio","3","0.993963783","0.04182014","0.024144869",NA,"3","0.329979879","0.06273021","0.036217304",NA,"","",NA,"","S0995",3,0.329979879,0.06273021,"positive","no","Figure 1","figure","","",10767.5,"systematic",0,9.28428761692827,0.00278616206175993
"1316","CD516","SearchQuery","partial","partial","yes","EG160","EX192","ES1238","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",54,0,"continuous","yes (as in CD515)","control_HC5","juvenile","shoaling","nearest neighbour ratio (day)","novelenvironment_shoaling","ratio","4","1.275653924","0.241448692","0.120724346",NA,"3","0.329979879","0.06273021","0.036217304",NA,"","",NA,"","S0995",3,0.329979879,0.06273021,"positive","no","Figure 1","figure","","",10767.5,"systematic",0,9.28428761692827,0.00501509171116787
"1317","CD516","SearchQuery","partial","partial","yes","EG160","EX192","ES1239","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",10,0,"continuous","yes (as in CD515)","control_HC5","juvenile","shoaling","nearest neighbour ratio (night)","novelenvironment_shoaling","ratio","3","1.126760563","0.076670257","0.044265594",NA,"3","0.575452716","0.167280561","0.096579477",NA,"","",NA,"","S0996",3,0.575452716,0.167280561,"positive","no","Figure 1","figure","","",10767.5,"systematic",0,9.28428761692827,0.000928720687253309
"1318","CD516","SearchQuery","partial","partial","yes","EG160","EX192","ES1240","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",10,0,"continuous","yes (as in CD515)","control_HC5","juvenile","shoaling","nearest neighbour ratio (night)","novelenvironment_shoaling","ratio","3","1.191146881","0.250920841","0.144869215",NA,"3","0.575452716","0.167280561","0.096579477",NA,"","",NA,"","S0996",3,0.575452716,0.167280561,"positive","no","Figure 1","figure","","",10767.5,"systematic",0,9.28428761692827,0.000928720687253309
"1319","CD516","SearchQuery","partial","partial","yes","EG160","EX192","ES1241","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",30,0,"continuous","yes (as in CD515)","control_HC5","juvenile","shoaling","nearest neighbour ratio (night)","novelenvironment_shoaling","ratio","3","1.420523139","0.355471192","0.205231388",NA,"3","0.575452716","0.167280561","0.096579477",NA,"","",NA,"","S0996",3,0.575452716,0.167280561,"positive","no","Figure 1","figure","","",10767.5,"systematic",0,9.28428761692827,0.00278616206175993
"1320","CD516","SearchQuery","partial","partial","yes","EG160","EX192","ES1242","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",30,0,"continuous","yes (as in CD515)","control_HC5","juvenile","shoaling","nearest neighbour ratio (night)","novelenvironment_shoaling","ratio","3","1.331991952","0.278800935","0.160965795",NA,"3","0.575452716","0.167280561","0.096579477",NA,"","",NA,"","S0996",3,0.575452716,0.167280561,"positive","no","Figure 1","figure","","",10767.5,"systematic",0,9.28428761692827,0.00278616206175993
"1321","CD516","SearchQuery","partial","partial","yes","EG160","EX192","ES1243","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",54,0,"continuous","yes (as in CD515)","control_HC5","juvenile","shoaling","nearest neighbour ratio (night)","novelenvironment_shoaling","ratio","4","1.384305835","0.209255533","0.104627767",NA,"3","0.575452716","0.167280561","0.096579477",NA,"","",NA,"","S0996",3,0.575452716,0.167280561,"positive","no","Figure 1","figure","","",10767.5,"systematic",0,9.28428761692827,0.00501509171116787
"1323","CD516","SearchQuery","partial","partial","yes","EG161A","EX193A","ES1245","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",7,0,"continuous","yes (as in CD515)","no","juvenile","shoaling","nearest neighbour ratio","novelenvironment_shoaling","ratio","11","0.819753086","0.212919122","0.064197531",NA,"18","0.814814815","0.240940088","0.056790123",NA,"","",NA,"","S0998",NA,NA,NA,"positive","no","Figure 3","figure","","",10767.5,"systematic",0,9.28428761692827,0.000650104481077316
"1324","CD516","SearchQuery","partial","partial","yes","EG161A","EX193A","ES1246","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",7,0,"continuous","yes (as in CD515)","no","juvenile","shoaling","nearest neighbour ratio","novelenvironment_shoaling","ratio","11","0.859259259","0.221108319","0.066666667",NA,"18","0.888888889","0.240940088","0.056790123",NA,"","",NA,"","S0999",NA,NA,NA,"positive","no","Figure 3","figure","","",10767.5,"systematic",0,9.28428761692827,0.000650104481077316
"1325","CD516","SearchQuery","partial","partial","yes","EG161A","EX193A","ES1247","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",7,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","11","0.659259259","0.229297516","0.069135802",NA,"18","0.698765432","0.219988776","0.051851852",NA,"","",NA,"","S1000",NA,NA,NA,"positive","no","Figure 3","figure","","",10767.5,"systematic",0,9.28428761692827,0.000650104481077316
"1326","CD516","SearchQuery","partial","partial","yes","EG161A","EX193A","ES1248","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",7,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","11","0.711111111","0.188351531","0.056790123",NA,"18","0.679012346","0.20951312","0.049382716",NA,"","",NA,"","S1001",NA,NA,NA,"positive","no","Figure 3","figure","","",10767.5,"systematic",0,9.28428761692827,0.000650104481077316
"1327","CD516","SearchQuery","partial","partial","yes","EG161A","EX193A","ES1249","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",7,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","11","0.804938272","0.253865107","0.07654321",NA,"18","0.718518519","0.219988776","0.051851852",NA,"","",NA,"","S1002",NA,NA,NA,"positive","no","Figure 3","figure","","",10767.5,"systematic",0,9.28428761692827,0.000650104481077316
"1328","CD516","SearchQuery","partial","partial","yes","EG161B","EX193B","ES1250","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",7,0,"continuous","yes (as in CD515)","no","juvenile","shoaling","nearest neighbour ratio","novelenvironment_shoaling","ratio","10","0.733333333","0.15616186","0.049382716",NA,"19","0.711111111","0.247542409","0.056790123",NA,"","",NA,"","S1003",NA,NA,NA,"positive","no","Figure 3","figure","","",10767.5,"systematic",0,9.28428761692827,0.000650104481077316
"1329","CD516","SearchQuery","partial","partial","yes","EG161B","EX193B","ES1251","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",7,0,"continuous","yes (as in CD515)","no","juvenile","shoaling","nearest neighbour ratio","novelenvironment_shoaling","ratio","10","0.72345679","0.109313302","0.034567901",NA,"19","0.775308642","0.269067836","0.061728395",NA,"","",NA,"","S1004",NA,NA,NA,"positive","no","Figure 3","figure","","",10767.5,"systematic",0,9.28428761692827,0.000650104481077316
"1330","CD516","SearchQuery","partial","partial","yes","EG161B","EX193B","ES1252","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",7,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","10","0.671604938","0.171778046","0.054320988",NA,"19","0.474074074","0.161440702","0.037037037",NA,"","",NA,"","S1005",NA,NA,NA,"positive","no","Figure 3","figure","","",10767.5,"systematic",0,9.28428761692827,0.000650104481077316
"1331","CD516","SearchQuery","partial","partial","yes","EG161B","EX193B","ES1253","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",7,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","10","0.664197531","0.203010418","0.064197531",NA,"19","0.511111111","0.182966128","0.041975309",NA,"","",NA,"","S1006",NA,NA,NA,"positive","no","Figure 3","figure","","",10767.5,"systematic",0,9.28428761692827,0.000650104481077316
"1332","CD516","SearchQuery","partial","partial","yes","EG161B","EX193B","ES1254","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",7,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","10","0.819753086","0.187394232","0.059259259",NA,"19","0.50617284","0.182966128","0.041975309",NA,"","",NA,"","S1007",NA,NA,NA,"positive","no","Figure 3","figure","","",10767.5,"systematic",0,9.28428761692827,0.000650104481077316
"1334","CD516","SearchQuery","partial","partial","yes","EG162A","EX194A","ES1256","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",28,0,"continuous","yes (as in CD515)","no","juvenile","shoaling","nearest neighbour ratio","novelenvironment_shoaling","ratio","14","0.844278607","0.176844503","0.047263682",NA,"15","0.643890274","0.193166252","0.049875312",NA,"","",NA,"","S1009",NA,NA,NA,"positive","no","Figure 4","figure","","",10767.5,"systematic",0,9.28428761692827,0.00260041792430926
"1335","CD516","SearchQuery","partial","partial","yes","EG162A","EX194A","ES1257","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",28,0,"continuous","yes (as in CD515)","no","juvenile","shoaling","nearest neighbour ratio","novelenvironment_shoaling","ratio","14","0.849253731","0.223382531","0.059701493",NA,"15","0.666334165","0.26077444","0.067331671",NA,"","",NA,"","S1010",NA,NA,NA,"positive","no","Figure 4","figure","","",10767.5,"systematic",0,9.28428761692827,0.00260041792430926
"1336","CD516","SearchQuery","partial","partial","yes","EG162A","EX194A","ES1258","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",28,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","14","0.742288557","0.130306476","0.034825871",NA,"15","0.579052369","0.241457815","0.06234414",NA,"","",NA,"","S1011",NA,NA,NA,"positive","no","Figure 4","figure","","",10767.5,"systematic",0,9.28428761692827,0.00260041792430926
"1337","CD516","SearchQuery","partial","partial","yes","EG162A","EX194A","ES1259","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",28,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","14","0.774626866","0.195459714","0.052238806",NA,"15","0.616458853","0.241457815","0.06234414",NA,"","",NA,"","S1012",NA,NA,NA,"positive","no","Figure 4","figure","","",10767.5,"systematic",0,9.28428761692827,0.00260041792430926
"1338","CD516","SearchQuery","partial","partial","yes","EG162A","EX194A","ES1260","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",28,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","14","0.727363184","0.214074925","0.05721393",NA,"15","0.631421446","0.222141189","0.057356608",NA,"","",NA,"","S1013",NA,NA,NA,"positive","no","Figure 4","figure","","",10767.5,"systematic",0,9.28428761692827,0.00260041792430926
"1339","CD516","SearchQuery","partial","partial","yes","EG162B","EX194B","ES1261","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",28,0,"continuous","yes (as in CD515)","no","juvenile","shoaling","nearest neighbour ratio","novelenvironment_shoaling","ratio","10","0.672636816","0.188792696","0.059701493",NA,"10","0.713715711","0.236579376","0.074812968",NA,"","",NA,"","S1014",NA,NA,NA,"positive","no","Figure 4","figure","","",10767.5,"systematic",0,9.28428761692827,0.00260041792430926
"1340","CD516","SearchQuery","partial","partial","yes","EG162B","EX194B","ES1262","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",28,0,"continuous","yes (as in CD515)","no","juvenile","shoaling","nearest neighbour ratio","novelenvironment_shoaling","ratio","10","0.839303483","0.204525421","0.064676617",NA,"10","0.648877805","0.157719584","0.049875312",NA,"","",NA,"","S1015",NA,NA,NA,"positive","no","Figure 4","figure","","",10767.5,"systematic",0,9.28428761692827,0.00260041792430926
"1341","CD516","SearchQuery","partial","partial","yes","EG162B","EX194B","ES1263","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",28,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","10","0.841791045","0.165193609","0.052238806",NA,"10","0.781047382","0.283895251","0.089775561",NA,"","",NA,"","S1016",NA,NA,NA,"positive","no","Figure 4","figure","","",10767.5,"systematic",0,9.28428761692827,0.00260041792430926
"1342","CD516","SearchQuery","partial","partial","yes","EG162B","EX194B","ES1264","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",28,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","10","0.829353234","0.243857233","0.077114428",NA,"10","0.661346633","0.141947626","0.044887781",NA,"","",NA,"","S1017",NA,NA,NA,"positive","no","Figure 4","figure","","",10767.5,"systematic",0,9.28428761692827,0.00260041792430926
"1343","CD516","SearchQuery","partial","partial","yes","EG162B","EX194B","ES1265","Sogard","1997","Environmental Biology of Fishes","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","starvation","restrict",28,0,"continuous","yes (as in CD515)","no","juvenile","predator response","nearest neighbour ratio","predation_shoaling","ratio","10","0.774626866","0.165193609","0.052238806",NA,"10","0.738653367","0.149833605","0.047381546",NA,"","",NA,"","S1018",NA,NA,NA,"positive","no","Figure 4","figure","","",10767.5,"systematic",0,9.28428761692827,0.00260041792430926
"1349","CD517","SearchQuery","yes","yes","yes","EG163","EX195","ES1271","Sogard","1998","Journal of Experimental Marine Biology and Ecology","sablefish","Anoplopoma fimbria","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",7,0,"continuous","yes (growth rate)","no","juvenile","novel environment","time spent in bottom layer of tank (food present)","novelenvironment_feeding","percentage (group)","7","63.17757939","35.03452148","13.24180445",NA,"9","39.07319795","25.04352732","8.34784244",NA,"","",NA,"","S1024",NA,NA,NA,"positive","yes","Figure 3","figure","","",41610,"systematic",0,10.636095801977,0.000168228791155972
"1350","CD517","SearchQuery","yes","yes","yes","EG163","EX195","ES1272","Sogard","1998","Journal of Experimental Marine Biology and Ecology","sablefish","Anoplopoma fimbria","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",7,0,"continuous","yes (growth rate)","no","juvenile","novel environment","time spent in bottom layer of tank (food present)","novelenvironment_feeding","percentage (group)","7","34.00450303","30.23626431","11.42823371",NA,"9","12.20406544","19.45384036","6.484613454",NA,"","",NA,"","S1025",NA,NA,NA,"positive","yes","Figure 3","figure","","",41610,"systematic",0,10.636095801977,0.000168228791155972
"1351","CD517","SearchQuery","yes","yes","yes","EG163","EX195","ES1273","Sogard","1998","Journal of Experimental Marine Biology and Ecology","sablefish","Anoplopoma fimbria","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",7,0,"continuous","yes (growth rate)","no","juvenile","novel environment","time spent in bottom layer of tank (food present)","novelenvironment_feeding","percentage (group)","7","34.69364061","32.41183084","12.25052056",NA,"9","9.697913744","13.83425585","4.611418617",NA,"","",NA,"","S1026",NA,NA,NA,"positive","yes","Figure 3","figure","","",41610,"systematic",0,10.636095801977,0.000168228791155972
"1352","CD517","SearchQuery","yes","yes","yes","EG163","EX195","ES1274","Sogard","1998","Journal of Experimental Marine Biology and Ecology","sablefish","Anoplopoma fimbria","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",7,0,"continuous","yes (growth rate)","no","juvenile","novel environment","time spent in bottom layer of tank (food present)","novelenvironment_feeding","percentage (group)","7","20.37143769","18.62633174","7.04009166",NA,"9","11.14465117","11.34472773","3.781575911",NA,"","",NA,"","S1027",NA,NA,NA,"positive","yes","Figure 3","figure","","",41610,"systematic",0,10.636095801977,0.000168228791155972
"1353","CD517","SearchQuery","yes","yes","yes","EG163","EX195","ES1275","Sogard","1998","Journal of Experimental Marine Biology and Ecology","sablefish","Anoplopoma fimbria","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",7,0,"continuous","yes (growth rate)","no","juvenile","novel environment","time spent in bottom layer of tank (food present)","novelenvironment_feeding","percentage (group)","7","16.66369505","11.75571591","4.443242969",NA,"9","11.85834486","11.11114584","3.703715279",NA,"","",NA,"","S1028",NA,NA,NA,"positive","yes","Figure 3","figure","","",41610,"systematic",0,10.636095801977,0.000168228791155972
"1354","CD517","SearchQuery","yes","yes","yes","EG163","EX195","ES1276","Sogard","1998","Journal of Experimental Marine Biology and Ecology","sablefish","Anoplopoma fimbria","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",7,0,"continuous","yes (growth rate)","no","juvenile","novel environment","activity","novelenvironment_activity","count","7","35.74092574","11.43507095","4.322050564",NA,"9","32.86972287","14.73123599","4.910411996",NA,"","",NA,"","S1029",NA,NA,NA,"positive","yes","Figure 6A","figure","","",41610,"systematic",0,10.636095801977,0.000168228791155972
"1355","CD517","SearchQuery","yes","yes","yes","EG163","EX195","ES1277","Sogard","1998","Journal of Experimental Marine Biology and Ecology","sablefish","Anoplopoma fimbria","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",7,0,"continuous","yes (growth rate)","no","juvenile","novel environment","areas explored","novelenvironment_exploration","count","7","8.964536634","0.927004572","0.350374795",NA,"9","7.107728337","1.561202184","0.520400728",NA,"","",NA,"","S1030",NA,NA,NA,"positive","yes","Figure 6B","figure","","",41610,"systematic",0,10.636095801977,0.000168228791155972
"1356","CD517","SearchQuery","yes","yes","yes","EG163","EX195","ES1278","Sogard","1998","Journal of Experimental Marine Biology and Ecology","sablefish","Anoplopoma fimbria","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",7,0,"continuous","yes (growth rate)","no","juvenile","shoaling","group cohesion index","novelenvironment_shoaling","average blocks occupied","7","3.193497968","0.173768328","0.065678254",NA,"9","2.918064673","0.302284567","0.100761522",NA,"","",NA,"","S1031",NA,NA,NA,"positive","yes","Figure 7","figure","","",41610,"systematic",0,10.6361,0.0001682288
"1357","CD518","SearchQuery","yes","yes","yes","EG164","EX196","ES1279","Soto","2005","Ethology","Acanthina monodon","Acanthina monodon","gastropod","wild","lab","unknown","adult","starvation","restrict",70,0,"continuous","unknown","no","adult","novel environment","consumption rate","novelenvironment_feeding","grams per day","10","0.049678639","0.015422829","0.004877127",NA,"10","0.046049149","0.034432362","0.010888469",NA,"","",NA,"","S1032",NA,NA,NA,"positive","no","Figure 1","figure","","",NA,NA,NA,NA,NA
"1358","CD518","SearchQuery","yes","yes","yes","EG165","EX197","ES1280","Soto","2005","Ethology","Acanthina monodon","Acanthina monodon","gastropod","wild","lab","unknown","adult","starvation","restrict",56,0,"continuous","unknown","no","adult","novel environment","consumption rate","novelenvironment_feeding","grams per day","9","0.043373494","0.009759036","0.003253012",NA,"9","0.045542169","0.021325301","0.007108434",NA,"","",NA,"","S1033",NA,NA,NA,"positive","no","Figure 2","figure","","",NA,NA,NA,NA,NA
"1359","CD518","SearchQuery","yes","yes","yes","EG166","EX198","ES1281","Soto","2005","Ethology","Acanthina monodon","Acanthina monodon","gastropod","wild","lab","unknown","adult","starvation","restrict",56,0,"continuous","unknown","no","adult","foraging under predation risk","consumption rate","predation_feeding","grams per day","9","0.042409639","0.009759036","0.003253012",NA,"9","0.021686747","0.01373494","0.004578313",NA,"","",NA,"","S1034",NA,NA,NA,"positive","no","Figure 2","figure","","",NA,NA,NA,NA,NA
